movie_id,title,genres,release_date,poster_link
927107,The Bricklayer,Action|Thriller,2023-12-14,https://image.tmdb.org/t/p/original/36pYugctLa70NmwMEgXTR1G31Kq.jpg
299054,Expend4bles,Action|Adventure|Thriller,2023-09-15,https://image.tmdb.org/t/p/original/iwsMu0ehRPbtaSxqiaUDQB9qMWT.jpg
854006,Ox-Head Village,Horror|Drama,2022-02-18,https://image.tmdb.org/t/p/original/vwxYJyhNBg5uLByXe8fyIdO0YqD.jpg
1010581,My Fault,Drama|Romance,2023-06-08,https://image.tmdb.org/t/p/original/w46Vw536HwNnEzOa7J24YH9DPRS.jpg
678512,Sound of Freedom,Action|Drama,2023-07-03,https://image.tmdb.org/t/p/original/qA5kPYZA7FkVvqcEfJRoOy4kpHg.jpg
1075794,Leo,Animation|Comedy|Family,2023-11-17,https://image.tmdb.org/t/p/original/pD6sL4vntUOXHmuvJPPZAgvyfd9.jpg
744857,When Evil Lurks,Horror|Thriller,2023-10-05,https://image.tmdb.org/t/p/original/2gimJ06p9tVR4P6jacZWcLcNEwA.jpg
507089,Five Nights at Freddy's,Horror|Mystery,2023-10-25,https://image.tmdb.org/t/p/original/7BpNtNfxuocYEVREzVMO75hso1l.jpg
843380,Dead for a Dollar,Western|Thriller|Action,2022-09-30,https://image.tmdb.org/t/p/original/1AnXfjxFqMsQmUPSvt9YxUJhfFw.jpg
79026,El padrino: The Latin Godfather,Action|Crime|Drama,2004-09-27,https://image.tmdb.org/t/p/original/10J7EQ8WvMYku8lcZrLewV2Ko4I.jpg
575264,Mission: Impossible - Dead Reckoning Part One,Action|Thriller,2023-07-08,https://image.tmdb.org/t/p/original/NNxYkU70HPurnNCSiCjYAmacwm.jpg
852445,Acid,Drama|Fantasy,2023-09-20,https://image.tmdb.org/t/p/original/91vF7SNB2tqsSultsmEn8tJYh4l.jpg
1072342,Night Swim,Horror|Thriller,2024-01-03,https://image.tmdb.org/t/p/original/gSkfBGdxdialBMM7P02V4hcI6Ij.jpg
